haskell-extensible-exceptions 0.1.1.4-36
haskell-free 5.1.7-56
haskell-ghc-bignum-orphans 0.1-2
haskell-hashable 1.3.5.0-7
haskell-hinotify 0.4.1-96
haskell-hourglass 0.2.12-171
haskell-http 4000.3.16-121
haskell-http-client 0.7.10-5
haskell-http-client-tls 0.3.5.3-483
haskell-http-conduit 2.3.8-133
haskell-http-types 0.12.3-206
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1-64
haskell-integer-logarithms 1.0.3.1-6
haskell-invariant 0.5.5-8
haskell-iproute 1.7.12-3
haskell-kan-extensions 5.2.3-39
haskell-lens 5.1-6
haskell-libmpd 0.10.0.0-70
haskell-memory 0.16.0-42
haskell-mime-types 0.1.0.9-14
haskell-monad-loops 0.4.3-25
haskell-mono-traversable 1.0.15.3-25
haskell-netlink 1.1.1.0-13
haskell-network 3.1.2.7-3
haskell-network-uri 2.6.4.1-60
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-parallel 3.2.2.0-17
haskell-parsec-numbers 0.1.0-18
haskell-pem 0.2.4-205
haskell-pretty-hex 1.1-9
haskell-primitive 0.7.3.0-12
haskell-profunctors 5.6.2-65
haskell-random 1.2.1-48
haskell-reflection 2.1.6-121
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-posix 0.96.0.1-3
haskell-resourcet 1.2.4.3-27
haskell-safe-exceptions 0.1.7.2-30
haskell-scientific 0.3.7.0-38
haskell-semigroupoids 5.3.7-6
haskell-setlocale 1.0.0.10-4
haskell-socks 0.6.1-153
haskell-split 0.2.3.4-170
haskell-splitmix 0.1.0.4-28
haskell-statevar 1.2.2-2
haskell-streaming-commons 0.2.2.2-9
haskell-strict 0.4.0.1-94
haskell-tagged 0.8.6.1-5
haskell-th-abstraction 0.4.3.0-2
haskell-th-compat 0.1.3-22
haskell-th-lift 0.8.2-11
haskell-these 1.1.1.1-121
haskell-time-compat 1.9.6.1-22
haskell-timezone-olson 0.2.0-6
haskell-timezone-series 0.1.9-12
haskell-tls 1.5.7-1
haskell-transformers-base 0.4.6-27
haskell-transformers-compat 0.7.1-2
haskell-typed-process 0.2.8.0-11
haskell-unliftio-core 0.2.0.1-9
haskell-unordered-containers 0.2.15.0-9
haskell-utf8-string 1.0.2-75
haskell-uuid-types 1.0.5-42
haskell-vector 0.12.3.1-40
haskell-vector-algorithms 0.8.0.4-90
haskell-void 0.7.3-128
haskell-x11 1.10.1-2
haskell-x11-xft 0.3.1-199
haskell-x509 1.7.5-185
haskell-x509-store 1.6.7-184
haskell-x509-system 1.6.7-1
haskell-x509-validation 1.6.12-3
haskell-xml-conduit 1.9.1.1-75
haskell-xml-types 0.3.8-8
haskell-zlib 0.6.2.3-58
haveged 1.9.17-1
hicolor-icon-theme 0.17-2
hidapi 0.11.2-1
htop 3.1.2-1
hwdata 0.355-1
hwloc 2.7.0-1
hyphen 2.8.8-3
iana-etc 20220110-1
icu 70.1-1
ijs 0.35-3
imath 3.1.4-1
imlib2 1.7.5-1
iniparser 4.1-4
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
iso-codes 4.9.0-1
jack2 1.9.20-3
jansson 2.14-1
jasper 2.0.33-1
jbig2dec 0.19-1
jq 1.6-4
js78 78.15.0-3
json-c 0.15-2
json-glib 1.6.6-1
kbd 2.4.0-2
keyutils 1.6.3-1
kmod 29-1
krb5 1.19.2-2
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
lcms2 2.12-1
ldns 1.8.1-1
lensfun 0.3.95-6
less 1:590-1
lib32-acl 2.3.1-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-3
lib32-bzip2 1.0.8-2
lib32-curl 7.81.0-1
lib32-dbus 1.12.20-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.3-1
lib32-faudio 22.01-1
lib32-fontconfig 2:2.13.94-1
lib32-freetype2 2.11.1-1
lib32-gcc-libs 11.1.0-3
lib32-gettext 0.21-1
lib32-glib2 2.70.3-1
lib32-glibc 2.33-5
lib32-glu 9.0.2-2
lib32-harfbuzz 3.2.0-1
lib32-icu 70.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.2-2
lib32-lcms2 2.12-1
lib32-libcap 2.63-1
lib32-libdrm 2.4.109-1
lib32-libelf 0.186-2
lib32-libffi 3.4.2-3
lib32-libgcrypt 1.9.4-1
lib32-libglvnd 1.4.0-1
lib32-libgpg-error 1.44-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.2-1
lib32-libjpeg-turbo 2.1.2-1
lib32-libldap 2.6.1-1
lib32-libnl 3.5.0-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpsl 0.21.1-1
lib32-libsm 1.2.3-1
lib32-libssh2 1.10.0-1
lib32-libtiff 4.3.0-1
lib32-libtirpc 1.3.2-1
lib32-libunistring 0.9.10-1
lib32-libunwind 1.6.2-1
lib32-libx11 1.7.3.1-1
lib32-libxau 1.0.9-1
lib32-libxcb 1.14-1
